epoch,IoU_metric,loss,mean_absolute_error,mean_squared_error,val_IoU_metric,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.818203346797,0.268741712434,0.0273552102021,0.00708177592499,0.820308771292,0.266570952018,0.0272242332101,0.00727377967288
1,0.817145909309,0.269671475104,0.0277907824559,0.00730856123992,0.802515407562,0.284290775537,0.0297382189631,0.00853093076746
2,0.82205070734,0.264719291687,0.0265520123477,0.00691431424022,0.82294880724,0.263780302445,0.0271237920026,0.00703363061448
3,0.824764384678,0.261917616095,0.0262603275222,0.0066388995227,0.819624893824,0.26701229763,0.0274039089978,0.00750075044235
4,0.826643995558,0.25994635507,0.0259360959487,0.00647668227553,0.81288759168,0.273651199818,0.0288902837634,0.00828197271874
5,0.833664180347,0.252826202818,0.0247708849949,0.00621577900595,0.819024792194,0.26741334486,0.0275102532903,0.00747413181265
6,0.832452334336,0.253937073299,0.0250128419016,0.00615910121692,0.81964257288,0.266696202676,0.0277246340811,0.00741328317424
7,0.83405813115,0.252238085236,0.0247576982464,0.00603582730623,0.819779369354,0.266466948668,0.0273170734545,0.00700996674349
8,0.836722155571,0.24946563266,0.0243319834215,0.0058656813018,0.815803684235,0.270328457832,0.0279947655996,0.00745266428838
9,0.837842772211,0.24823878932,0.0241182641664,0.00581976383392,0.815770929178,0.270254958868,0.028270097971,0.00766999812424
10,0.842654717241,0.243314811672,0.0232919257092,0.0056982569636,0.818488159657,0.267432853858,0.0275816124181,0.00725078675896
11,0.843575840201,0.242291152477,0.0232159475046,0.00558709710677,0.82016701444,0.26564921999,0.0272496534983,0.00719681165119
12,0.843593801839,0.242171858004,0.0231539525475,0.00558333764704,0.820358073711,0.265360582193,0.027288037916,0.00703415600707
13,0.830109494618,0.255569866112,0.0262387281741,0.0066846705888,0.789792507172,0.295856610298,0.0322807012995,0.00787416422119
14,0.838141352517,0.247474809868,0.023964548128,0.00583476764496,0.814054901759,0.271504662434,0.0284222419957,0.00758191670974
15,0.837435447352,0.248099919421,0.024136525599,0.00586008077381,0.812981432597,0.272503098806,0.0280739057561,0.00739485922207
16,0.842722487995,0.242722677912,0.0233018730283,0.00563943822043,0.813720878283,0.271685571591,0.0282402679523,0.00766106794029
17,0.847464173385,0.237885123883,0.0225655966337,0.00537413375186,0.818483491739,0.266806582451,0.0276890184581,0.00734613676866
18,0.844545082569,0.240697857823,0.0230122229329,0.00544153691669,0.815758262157,0.269434958537,0.0282172083457,0.00747686169297
19,0.824896353858,0.260296804224,0.0262009792158,0.00649892647032,0.778107814312,0.307133882125,0.0344896043738,0.00827238918841
20,0.826696971689,0.258504646063,0.025860770515,0.00631354909603,0.810878489812,0.274273391724,0.0290412090619,0.00760316614062
21,0.836902853625,0.248206265484,0.0241574061045,0.00581012481025,0.807942109903,0.277122394482,0.0294313047528,0.0077099592338
22,0.84471693543,0.240301808459,0.0230557558217,0.00544549519196,0.804662740548,0.280306811651,0.0299507179757,0.00814886963864
23,0.845994728497,0.238933532085,0.0227923984379,0.00542845503826,0.810030676365,0.27484583354,0.0294487969577,0.00767547286053
24,0.849276068551,0.235555817025,0.0222236927216,0.00534493971403,0.80862974151,0.276157692512,0.0292177246014,0.00808778448155
25,0.848639714922,0.236102223975,0.0223594015092,0.00526668821169,0.81435620594,0.270336676757,0.0281293682059,0.00756410478055
26,0.852025055613,0.232623963611,0.0218318148319,0.00523535493123,0.815481752237,0.269121815443,0.0278801441193,0.0073620020772
27,0.850786683559,0.233764009169,0.0219967148879,0.00515400134187,0.814353358269,0.270146287441,0.0282506269217,0.00741587311774
28,0.85533070973,0.229120510765,0.0212939181754,0.00510022893388,0.812515232404,0.271886478504,0.0287399946749,0.00762905892978
29,0.855312302249,0.22904301909,0.0213059359448,0.00501828315641,0.800379357974,0.283920874119,0.0311684634884,0.00768325853099
30,0.854137056555,0.23011979694,0.0214781421189,0.00506851195917,0.809276690006,0.274931005239,0.0292359076937,0.00811651056757
31,0.854744475024,0.229411632146,0.0213585218894,0.00509697153047,0.812263443152,0.271842162053,0.0290492588083,0.00761258381605
32,0.854125559194,0.229930678947,0.0214518688491,0.00504587671586,0.816080738703,0.267919707934,0.0280404611131,0.00728639445206
33,0.8569602014,0.226993534361,0.021023604244,0.00498951639235,0.812090708256,0.271833134969,0.0288989337484,0.00730380030721
34,0.844637214116,0.239264566115,0.0230508450738,0.00574246641248,0.807988718192,0.275932955265,0.0295060888131,0.00732522951066
35,0.848028245926,0.235843369228,0.0224226485682,0.00530349460297,0.807106011073,0.276706172466,0.0297401348948,0.00797104041527
36,0.854286452498,0.22947706524,0.0214710978589,0.0050667545822,0.813018697421,0.270687555393,0.0285153700511,0.00751776044319
37,0.856249673026,0.227406763349,0.0211489080404,0.00495235955822,0.811420582771,0.272184009075,0.0286577086349,0.00769950198879
38,0.854394492354,0.229164987223,0.0214378411067,0.00502180533218,0.762349478245,0.321197151899,0.0369899562001,0.0108026342566
39,0.84493975544,0.238584784116,0.0228961369566,0.00547678102766,0.801001674334,0.282477736473,0.0299517569244,0.00822941382478
40,0.851234926224,0.232200203879,0.0219634839147,0.00512661165584,0.797604676882,0.285777730465,0.030421587646,0.00842668645829
41,0.854111153194,0.229219887223,0.021454999779,0.00514230374726,0.804421580315,0.278852557341,0.0296375695666,0.00838013508171
42,0.854676776477,0.228549979533,0.021385012335,0.00502967159397,0.808225669225,0.274950276534,0.0289560970763,0.00771695515513
43,0.85527804545,0.227858742765,0.0212879245452,0.0050265369245,0.802512470245,0.280598595301,0.0296985322535,0.0078737430945
44,0.855550411701,0.227507786274,0.0212467472873,0.00498508394829,0.809107092222,0.273895235936,0.0291680240532,0.00762003829827
45,0.853943917956,0.229007450104,0.021544351631,0.00497959221048,0.808292933623,0.274603921731,0.0292724644542,0.00767391493668
46,0.858842641694,0.224017716476,0.0207255151187,0.00488579699131,0.811279886723,0.271526157697,0.0288315266073,0.00754540270319
47,0.857936615195,0.224813001122,0.0208565723279,0.00486961409609,0.809997171879,0.272700520198,0.0290845688979,0.00763878094902
48,0.859471722603,0.223173111251,0.0206327171283,0.00479733105802,0.812741876125,0.269851441145,0.0285329543948,0.00736882932981
49,0.860197640964,0.222346665093,0.0204747023476,0.00483600076873,0.809431807518,0.273070462545,0.0290275130868,0.00770711271216
50,0.834104932717,0.248386035783,0.0260677532383,0.00690608698449,0.325625788371,0.757022036235,0.273336136341,0.221434304714
51,0.814811695508,0.267846572638,0.0275513289251,0.00694456540367,0.77731022342,0.305317534208,0.0357174192568,0.00889574770133
52,0.83931937606,0.243256237166,0.0238055664556,0.00562333315079,0.799319011688,0.28320633165,0.030806352973,0.00813646053274
53,0.84899051748,0.233489558578,0.0223177835239,0.00527343008774,0.802878680547,0.279551047405,0.030010377715,0.00807309296479
54,0.853267065457,0.229127940246,0.021608573441,0.00511822063689,0.801801911354,0.280543580691,0.0302319297095,0.00815756528576
55,0.855554418428,0.226746407509,0.0212299144247,0.00505868456619,0.791893746058,0.29035989205,0.0316662814418,0.00876752337813
56,0.849911025047,0.232308780704,0.022166482621,0.00512970627791,0.802524707317,0.279659880877,0.0300981192191,0.00809246188651
57,0.855972176075,0.226164810044,0.0211244082068,0.00504171183067,0.803622854551,0.278470622698,0.0298510757287,0.00813469304889
58,0.855247524398,0.226801801273,0.0213255211924,0.00494675371743,0.802056636969,0.279949275414,0.0299323190947,0.00813501007855
59,0.855621074745,0.226346537215,0.0212062627184,0.00496502372569,0.804628360589,0.277292746941,0.0299758069913,0.00813026192039
60,0.858378247465,0.223507011073,0.0207917459054,0.00488073467676,0.805822542826,0.276023751418,0.0295378301342,0.00787893389165
61,0.858032893317,0.22376445508,0.0208564717621,0.00488463762828,0.80721416076,0.274529486497,0.0295861767133,0.00784874508778
62,0.861337505409,0.220368665389,0.0203632285233,0.00474900304686,0.808818804264,0.27284507815,0.0290167485178,0.00767361650616
63,0.860027356897,0.2215908955,0.0205228660916,0.00480612948377,0.798931041876,0.282638303916,0.030236336261,0.00815139187376
64,0.861312389306,0.220220137647,0.0203530809198,0.00474334563262,0.80657636563,0.274911924044,0.0298821252684,0.00788508271923
65,0.858783189433,0.222672144396,0.0206958393263,0.00488542005845,0.794359392961,0.287080344439,0.0311867285371,0.00861481785278
66,0.85566537571,0.225732136914,0.0212154388194,0.00497005322788,0.803775583108,0.277572686911,0.030344487677,0.00810787593822
67,0.861139393534,0.220160835981,0.0203399331612,0.00479588104359,0.807019339879,0.274233716965,0.0293773963451,0.00783231636882
68,0.83785068512,0.243473334994,0.0240570743084,0.00581814318416,0.795596642494,0.285711099784,0.0312999417782,0.0082912252595
69,0.852241117069,0.229018895115,0.0217537309634,0.00508384524179,0.799387996515,0.281823916515,0.0302242280145,0.0079873021245
70,0.8571633655,0.224003962142,0.0210005637407,0.00487934945151,0.800260698318,0.280863966306,0.0302510324121,0.00801677756011
71,0.859111723968,0.221969560078,0.0206823261529,0.00484584835278,0.806687661012,0.274351850192,0.0297043582996,0.00790072331826
